YEAR,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1901,1032.3,72.4,108.1,752.8,99.0
1902,1030.2,11.7,110.8,794.0,113.8
1903,1190.5,25.3,107.9,884.8,172.5
1904,1019.8,24.0,137.4,761.8,96.6
1905,975.3,46.2,132.2,725.4,71.6
1906,1144.1,72.0,84.5,896.3,91.3
1907,1039.7,62.1,133.1,787.1,57.3
1908,1096.6,39.6,87.4,916.9,52.7
1909,1158.1,41.3,122.3,916.2,78.3
1910,1200.3,26.7,84.5,940.3,148.8
1911,1047.5,51.3,120.3,750.4,125.5
1912,1078.1,44.0,104.1,817.5,112.5
1913,1068.9,47.4,124.3,789.0,108.2
1914,1214.3,36.4,144.1,941.7,92.2
1915,1137.2,61.0,145.3,788.0,142.9
1916,1337.1,27.9,108.0,1014.4,186.9
1917,1480.3,47.3,141.1,1094.5,197.3
1918,1026.2,16.5,183.2,748.8,77.6
1919,1308.9,75.2,114.3,957.6,161.8
1920,1047.9,49.0,150.9,776.0,71.9
1921,1240.2,49.4,111.5,976.5,102.8
1922,1211.9,39.9,95.1,945.9,130.9
1923,1176.3,66.0,115.5,897.9,97.0
1924,1268.3,48.6,110.4,969.1,140.2
1925,1210.4,26.7,163.9,896.7,123.1
1926,1246.8,40.7,161.4,966.4,78.3
1927,1262.6,51.6,112.3,962.8,135.9
1928,1218.4,64.8,111.7,862.9,179.0
1929,1208.5,51.8,135.4,867.0,154.3
1930,1209.4,49.4,135.7,865.8,158.5
1931,1314.6,49.1,116.4,963.0,186.0
1932,1218.9,35.5,139.2,899.2,145.1
1933,1393.5,49.0,179.8,1034.3,130.5
1934,1227.6,36.6,112.4,970.4,108.1
1935,1143.4,51.7,100.9,913.3,77.5
1936,1341.7,57.6,157.6,981.7,144.8
1937,1218.1,60.9,133.4,888.2,135.6
1938,1306.7,65.1,139.1,1002.2,100.4
1939,1125.9,49.0,115.3,839.4,122.3
1940,1214.6,41.4,159.0,897.0,117.2
1941,1080.9,40.8,130.7,800.1,109.2
1942,1292.7,68.7,132.4,1013.7,77.9
1943,1282.1,68.4,175.8,928.5,109.4
1944,1319.1,69.2,151.0,961.7,137.2
1945,1225.8,44.3,120.9,956.8,103.8
1946,1332.6,23.4,143.5,974.7,191.0
1947,1236.6,41.0,120.2,975.4,100.0
1948,1341.9,54.7,172.5,973.2,141.4
1949,1272.4,41.8,166.3,951.6,112.6
1950,1172.5,61.6,115.1,904.2,91.6
1951,1061.3,28.3,160.8,761.3,110.9
1952,1108.2,30.9,137.1,829.6,110.6
1953,1222.9,41.2,111.2,965.3,105.2
1954,1180.3,75.9,93.6,919.6,91.2
1955,1298.3,26.7,130.9,953.8,186.9
1956,1386.2,31.1,147.8,999.8,207.5
1957,1178.2,57.1,142.8,871.5,106.7
1958,1331.0,32.2,135.7,999.0,164.0
1959,1382.1,56.3,123.1,1051.7,151.0
1960,1149.0,16.6,112.1,911.3,109.0
1961,1403.0,61.1,132.6,1055.8,153.4
1962,1196.4,34.1,129.7,908.2,124.4
1963,1210.2,15.8,148.3,905.9,140.2
1964,1235.1,29.9,110.6,994.3,100.3
1965,938.4,36.9,121.2,708.4,72.0
1966,1064.0,37.0,109.3,794.2,123.5
1967,1148.3,24.6,134.8,882.8,106.0
1968,1054.2,47.4,106.6,798.9,101.3
1969,1147.7,26.1,122.4,895.8,103.4
1970,1247.0,49.3,122.4,983.8,91.4
1971,1218.0,38.5,137.5,913.9,128.1
1972,948.5,36.8,113.6,679.5,118.6
1973,1214.0,40.2,102.7,921.7,149.4
1974,1043.7,27.7,115.3,777.1,123.5
1975,1290.2,33.6,104.4,1005.4,146.8
1976,1124.8,34.7,103.7,892.5,93.9
1977,1270.4,30.2,164.5,909.2,166.5
1978,1239.3,39.2,135.6,948.2,116.2
1979,1023.4,55.5,101.9,727.6,138.5
1980,1189.5,34.9,121.1,940.4,93.1
1981,1171.6,48.8,150.9,887.5,84.4
1982,1086.8,49.2,156.9,770.4,110.2
1983,1331.5,42.4,172.2,997.6,119.4
1984,1155.9,54.9,125.1,886.8,89.1
1985,1140.0,32.8,117.8,830.7,158.8
1986,1126.6,51.5,125.7,803.2,146.3
1987,1078.9,36.1,134.9,749.7,158.2
1988,1351.0,37.3,159.7,1066.1,87.9
1989,1122.4,28.8,115.9,890.9,86.8
1990,1400.6,59.2,209.7,970.6,161.1
1991,1159.9,40.1,144.6,868.6,106.6
1992,1121.3,38.8,105.1,867.7,109.7
1993,1201.9,41.6,134.9,894.9,130.5
1994,1295.6,50.9,121.0,998.0,125.6
1995,1243.6,61.5,140.1,916.2,125.8
1996,1181.8,45.8,118.1,891.6,126.3
1997,1171.4,23.9,122.3,863.2,162.0
1998,1243.5,53.7,137.2,897.4,155.3
1999,1132.0,30.4,124.2,837.9,139.5
2000,1050.4,46.0,127.1,812.5,64.9
2001,1083.3,17.5,128.1,815.4,122.2
2002,920.8,37.8,119.5,689.2,74.3
2003,1174.5,49.3,107.8,897.8,119.5
2004,1071.3,36.9,137.0,785.7,111.7
2005,1232.5,86.3,131.4,879.9,134.9
2006,1199.4,28.9,145.5,927.8,97.1
2007,1215.6,38.4,118.4,971.6,87.2
2008,1132.1,41.6,115.5,888.7,86.3
2009,959.3,25.0,97.8,702.4,134.1
2010,1200.5,23.8,127.8,902.4,146.5
2011,1110.1,34.0,113.9,900.9,61.4
2012,1073.5,39.3,91.2,844.7,98.3
2013,1216.2,46.9,100.4,920.1,148.7
2014,1033.7,43.2,125.5,780.1,84.8
2015,1093.2,38.4,185.2,772.2,97.3
